Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
July,145,42.54,23.62,22.04,1339,86.2,44.28,3138
May,51,40.6,19.02,26.97,1713,98.5,35.06,6686
December,146,46.58,32.78,16.45,525,87.64,23.2,4933
June,191,25.58,10.63,26.37,854,83.55,35.44,3253
May,289,41.95,30.36,14.54,1666,91.3,40.2,9241
December,175,24.14,16.67,10.26,1312,98.11,29.93,1659
March,85,43.72,24.14,15.05,1309,87.72,25.92,9153
March,13,23.33,17.17,10.03,1754,87.92,44.5,9369
April,282,43.03,23.11,28.76,764,95.37,49.82,2266
May,215,34.79,24.22,28.62,769,93.17,49.29,4180
January,135,34.76,28.17,16.67,1203,85.17,49.2,2519
August,38,40.02,16.96,13.65,1372,82.72,40.52,2697
May,67,49.81,32.25,16.79,784,94.33,32.53,7539
March,43,35.75,10.31,16.72,1756,81.03,47.22,9839
May,76,24.77,32.63,11.18,633,98.14,35.76,6436
December,100,30.21,24.79,29.84,644,80.96,38.59,7496
November,43,22.28,34.82,24.61,1126,86.93,24.45,7446
September,175,20.55,31.17,22.76,504,95.18,30.48,2143
October,249,39.46,30.58,28.19,1191,85.5,39.79,8097
May,193,37.96,11.52,17.28,830,84.39,46.6,2729
November,132,41.76,13.75,23.64,1589,87.81,35.59,1358
December,245,45.87,35.04,13.88,1378,96.9,41.06,8759
November,179,31.47,21.52,20.01,1486,91.19,43.98,6812
July,192,26.07,35.33,24.47,1225,90.66,22.53,8746
July,47,23.92,16.7,18.46,975,87.02,47.01,4453
November,158,49.77,14.62,13.08,1504,80.45,48.33,1946
December,243,35.46,14.17,21.52,1505,88.91,20.69,1834
October,15,43.34,33.64,18.72,949,99.77,27.46,3351
August,189,20.4,23.34,16.49,961,92.38,48.3,8435
January,85,47.83,30.22,22.7,1469,97.71,36.9,4865
October,57,41.21,19.66,18.64,1467,82.69,45.73,6127
February,30,24.61,32.88,28.68,1354,83.53,44.96,8847
July,179,43.81,16.86,11.78,1920,82.22,25.67,3453
October,89,35.59,27.13,10.24,1337,80.85,21.48,7880
June,64,28.45,24.69,15.23,674,86.26,48.73,3998
September,52,41.58,36.84,19.2,1993,95.01,38.73,3210
October,99,32.29,22.54,16.35,1110,82.68,26.83,5945
August,142,41.13,32.72,16.04,1417,93.59,37.45,8826
June,117,25.59,26.47,13.33,1186,80.22,44.52,5956
September,50,20.52,21.26,14.0,1884,82.75,35.04,1279
December,108,27.2,37.38,14.92,642,85.35,47.44,8712
June,183,31.43,12.9,13.58,746,96.39,37.04,3885
August,50,39.6,10.13,28.83,763,83.09,21.76,2729
August,192,20.65,19.46,29.62,857,87.53,29.79,1271
September,269,45.5,19.73,17.92,1406,89.72,22.71,5650
March,138,29.96,39.12,16.67,1780,86.52,34.34,7944
February,180,26.33,25.95,22.33,525,83.36,27.66,2421
November,149,25.09,19.5,28.59,1590,99.8,41.75,2609
January,99,43.94,26.98,10.34,1121,96.09,27.8,7447
July,157,41.39,29.73,23.8,1724,98.9,34.51,1295
October,21,40.11,39.14,13.34,1838,86.95,47.24,6182
September,201,24.1,37.8,21.96,1452,80.76,44.06,6202
December,187,42.0,15.57,17.06,606,92.94,30.36,6132
February,215,39.39,10.76,14.75,1400,91.2,23.96,6081
March,279,44.13,39.92,29.95,735,92.59,20.61,4033
November,150,32.28,22.37,16.04,1911,82.19,39.68,4543
July,117,38.09,39.33,29.96,1665,82.67,29.64,5011
November,146,27.42,37.27,21.92,1949,94.99,42.4,9234
October,96,23.37,11.05,17.8,1006,97.74,20.28,7163
October,82,29.56,39.06,14.9,1794,85.52,34.05,1522
May,167,47.41,23.6,28.87,752,95.73,39.82,7520
September,40,38.43,18.37,16.38,1274,83.49,43.2,7263
October,16,42.06,10.12,10.24,1619,89.04,33.35,2492
October,79,34.82,34.42,18.72,1188,87.68,37.54,5814
February,20,38.18,17.59,24.95,729,97.82,49.92,4966
March,261,30.26,33.13,19.15,1786,82.94,41.77,5693
March,227,40.92,18.78,25.57,840,87.84,39.52,5027
September,123,39.91,13.0,10.78,908,97.34,29.27,7483
January,104,37.22,14.84,17.36,561,92.25,40.43,1943
November,114,42.59,11.12,15.16,650,87.38,42.8,5817
March,208,27.08,24.53,26.01,921,83.47,41.44,7296
November,74,48.98,31.9,29.53,1872,83.4,34.35,9357
June,66,39.28,30.44,19.57,1715,83.31,30.88,9677
November,172,29.6,25.77,13.41,1166,84.04,49.37,8652
July,186,28.74,33.48,25.14,1031,86.96,34.41,5572
April,89,20.25,24.62,28.75,1452,81.51,35.22,9517
April,133,24.58,28.78,17.92,1071,87.78,40.62,3400
August,17,41.45,22.62,18.41,562,84.04,42.76,1254
November,170,29.47,25.81,22.81,1266,93.16,30.15,5993
April,107,43.03,21.69,19.09,1313,97.39,37.99,4338
April,32,23.76,34.0,24.16,705,80.51,35.87,2530
March,57,27.25,37.09,13.45,1797,88.13,40.74,9883
December,232,30.61,31.38,13.7,983,97.54,29.16,8150
January,34,38.0,24.47,15.34,780,85.43,49.93,3647
November,142,37.83,19.35,27.65,707,94.16,25.13,7076
October,115,48.99,31.71,18.72,1363,89.41,26.94,1007
September,184,20.96,28.43,10.05,1604,93.36,23.34,2781
April,86,30.52,39.19,12.83,1238,92.49,40.9,7250
September,235,41.94,11.1,22.31,572,89.0,30.8,3020
June,169,29.28,33.27,25.35,1303,92.91,21.45,3674
December,183,46.19,35.8,24.09,1090,91.95,45.52,5277
January,121,38.72,29.1,28.94,907,86.05,31.21,6861
July,198,48.16,16.55,28.59,1821,87.94,47.62,4090
March,212,32.28,20.54,18.29,511,99.86,46.38,1903
August,166,47.27,14.63,13.11,967,83.1,24.08,3422
July,247,46.53,11.36,21.32,1321,87.0,37.76,7970
February,240,24.81,26.88,26.52,1745,88.72,30.02,5193
February,97,20.53,20.14,23.64,1456,83.55,31.84,3319
August,282,29.64,36.08,19.01,1785,85.18,31.62,9518
June,241,32.37,17.17,18.7,970,81.79,40.41,1430
April,209,44.05,17.5,17.25,1526,93.02,46.04,8003
January,190,33.07,13.22,29.46,1070,85.3,25.48,6982
September,61,30.44,26.9,16.88,683,85.43,43.86,7690
April,186,30.36,17.92,11.79,1930,87.98,29.35,1514
June,240,43.62,17.86,21.76,852,96.49,43.44,6376
July,52,29.96,20.36,25.84,1694,80.16,37.25,8768
January,209,49.36,15.16,11.21,1101,90.67,48.55,5304
October,83,40.26,25.94,16.15,1864,85.63,31.85,6211
July,179,29.95,35.51,24.7,1959,83.22,23.06,2194
January,181,34.26,31.52,25.78,544,95.82,28.66,5514
May,20,40.78,11.42,11.58,615,82.59,44.25,5506
April,207,37.84,31.96,25.96,1034,98.56,45.02,8998
April,115,30.2,14.61,14.76,1452,91.42,32.36,8539
January,194,42.33,25.82,10.97,1857,94.59,27.3,1396
September,31,46.15,34.23,22.06,1432,94.92,22.75,6764
February,118,36.18,34.88,27.21,831,96.53,32.97,8226
September,68,38.27,24.45,26.3,1030,81.41,40.61,7527
May,148,49.65,18.36,20.83,1723,91.54,42.33,3930
October,235,43.42,31.06,11.54,1005,92.07,23.67,5427
May,155,20.31,38.43,21.26,1965,90.65,25.53,6196
March,54,45.97,26.66,13.89,1629,87.83,47.34,1627
August,213,20.65,37.0,20.01,1940,80.53,36.02,1192
February,128,38.28,14.94,29.53,974,90.14,20.21,9418
June,71,39.72,25.61,18.8,946,81.11,45.24,6098
September,98,30.7,35.16,18.39,974,81.79,37.76,2257
December,72,24.4,16.22,26.34,1837,98.77,42.91,5524
September,243,27.46,15.97,10.55,1410,91.42,26.8,3975
March,139,29.11,19.95,18.92,1983,85.55,35.33,8792
April,88,33.53,38.12,24.06,1528,88.32,37.66,1908
June,288,31.33,23.06,24.04,1240,90.15,27.06,6011
June,141,27.51,23.55,26.52,711,88.46,42.07,9592
December,286,42.1,13.93,10.02,1040,98.65,36.76,4255
October,285,45.47,39.93,12.73,1144,89.12,29.15,7539
July,282,35.18,29.27,29.04,1718,92.71,46.45,6152
August,174,36.28,30.49,15.65,1878,88.37,29.0,5465
February,217,31.15,33.5,28.15,1382,87.18,20.07,1953
December,239,36.39,21.3,19.14,1304,90.99,24.25,2122
February,85,31.12,12.47,19.23,1082,93.63,36.17,8399
December,115,20.4,28.55,14.88,1512,92.66,36.36,2635
February,190,39.71,35.86,14.53,1012,82.04,40.27,6084
September,127,32.1,28.38,13.32,1801,89.74,48.21,1818
May,151,38.93,22.89,14.1,1122,88.06,21.5,2751
September,292,45.61,36.91,23.15,1376,96.89,42.94,7685
May,153,25.1,34.64,22.73,795,92.34,47.15,1322
December,295,36.6,25.81,12.83,1559,86.2,20.93,1514
January,59,34.99,15.02,13.25,1244,83.92,29.72,2090
December,144,28.98,33.68,19.18,1092,87.37,21.13,7309
September,75,43.13,35.95,17.2,767,85.31,29.45,9242
July,89,39.21,25.13,22.29,1941,98.88,48.16,7072
June,142,36.33,17.69,17.28,1186,99.36,36.41,7058
November,274,26.64,22.97,14.18,1809,92.31,42.95,1313
March,216,31.02,17.67,16.82,943,84.9,44.76,3878
September,67,44.44,24.06,11.43,957,87.52,45.97,5190
March,60,33.84,26.87,21.19,823,89.27,41.37,2332
September,168,24.67,24.09,15.05,1151,84.64,47.32,6294
October,113,35.82,23.0,11.05,1985,86.23,40.47,7208
April,90,33.06,27.18,28.58,1504,88.46,30.62,5660
August,185,31.43,17.72,18.21,1440,81.09,40.27,8106
May,158,40.05,25.66,20.37,1875,97.45,42.18,7438
August,162,27.12,39.35,24.24,1594,82.79,34.52,1005
November,35,29.48,28.34,29.23,1819,85.96,45.03,8694
May,165,41.62,26.06,15.85,854,93.91,40.22,5415
May,121,24.44,12.41,18.09,1015,85.88,36.45,8786
December,165,28.24,36.87,10.19,511,88.32,36.86,4059
January,85,39.5,27.68,18.88,1354,80.17,47.26,8658
July,90,21.29,25.82,14.42,938,82.1,42.52,2849
June,70,40.29,30.0,11.79,1532,89.1,44.0,2198
September,69,29.5,21.64,28.34,1855,93.18,40.54,8992
August,113,45.81,38.31,12.75,1043,81.97,29.24,3585
September,124,29.17,22.44,10.71,948,89.51,36.08,3982
August,15,27.05,14.0,14.16,1563,96.81,47.46,3547
July,185,42.45,17.31,21.19,667,91.47,24.91,2913
August,260,40.52,18.75,22.81,1406,89.14,23.71,1344
November,152,31.0,22.84,13.09,1676,94.87,27.91,1726
September,199,43.36,34.17,11.06,1005,85.2,34.83,5221
March,186,32.06,18.23,18.27,1220,95.59,29.19,9088
March,25,20.67,38.78,10.95,1794,83.43,28.96,5051
February,60,25.68,38.23,25.64,1819,96.94,48.63,2302
January,170,35.19,36.03,16.96,1841,93.59,46.77,6059
April,292,22.35,36.64,18.71,1964,93.54,33.13,4653
September,198,40.14,14.25,22.63,1823,91.97,33.14,3688
September,288,49.26,21.38,17.41,1147,99.71,43.1,8014
January,19,27.7,11.0,12.69,1460,82.9,27.51,1075
March,192,30.61,15.34,15.31,626,99.17,36.16,9057
March,198,48.37,19.57,28.19,855,83.39,47.32,1630
April,92,38.44,24.82,17.34,669,80.58,34.01,4173
March,231,36.57,15.69,27.43,1106,88.83,26.08,9940
June,21,26.53,18.42,17.1,1802,82.52,49.59,1812
February,45,39.34,35.61,12.31,1133,97.06,29.98,6157
June,48,48.81,25.24,25.34,1363,98.41,23.62,1283
March,33,42.28,14.56,25.37,1877,87.9,36.53,8156
June,185,39.59,13.55,24.35,1103,85.41,26.74,6235
April,182,34.28,36.88,12.94,621,93.57,20.02,1869
August,226,47.63,35.94,13.3,1091,95.7,25.57,4312
June,167,28.23,38.32,23.57,1079,82.53,38.04,6347
April,245,20.83,18.18,28.44,1475,93.13,44.6,8701
August,54,37.45,26.37,26.81,1817,95.43,30.83,6822
June,48,49.21,18.74,12.92,1804,93.14,42.08,1840
June,187,21.19,29.2,11.32,772,99.4,26.63,6512
May,150,34.8,36.4,28.95,1026,99.66,24.75,6115
May,185,29.8,17.82,23.4,720,88.45,23.49,4103
August,66,46.8,19.48,23.8,1781,82.68,43.66,7973
December,257,49.01,13.81,28.4,790,95.36,22.58,9991
March,97,39.61,17.57,27.3,600,97.49,23.2,5060
February,298,28.47,31.63,26.74,1020,85.2,37.6,6442
April,137,22.86,26.84,16.21,1236,93.18,34.9,1994
March,267,20.98,19.4,10.08,870,96.59,35.82,1662
December,243,41.28,19.05,27.82,1844,99.79,26.91,1697
June,45,24.95,32.29,20.38,596,90.86,40.25,2108
February,125,29.45,28.45,12.64,1694,80.91,42.65,6001
December,217,38.79,31.59,27.59,1797,95.72,42.56,7005
September,209,30.74,35.43,20.56,945,82.54,28.11,5999
February,135,45.05,28.61,14.01,1084,93.8,47.41,3747
February,118,24.44,32.33,29.71,1141,84.64,43.29,5386
November,191,23.85,29.58,15.29,924,99.31,47.49,7526
November,227,33.01,28.1,20.5,875,87.76,32.94,9128
November,60,34.66,23.82,27.75,1678,85.93,31.74,3102
April,295,37.99,24.13,22.53,1936,86.85,25.59,4027
April,264,29.39,21.75,25.52,605,88.67,32.57,6972
April,12,44.46,13.9,12.49,1252,92.33,35.57,6210
October,90,46.29,29.87,17.35,613,80.26,23.02,7275
December,147,46.46,26.48,28.78,1882,97.49,30.84,7037
July,196,33.34,25.8,16.01,1479,87.82,30.69,3202
August,224,38.3,29.95,11.7,887,81.33,35.86,1287
December,54,23.25,38.42,29.23,519,81.86,23.11,1186
June,45,42.47,33.48,23.48,939,98.91,20.43,1124
February,40,38.23,14.3,16.72,1213,80.59,35.7,8803
June,126,31.56,34.13,18.95,1264,88.57,41.0,3716
December,164,27.82,20.68,14.48,1755,80.83,29.79,1842
November,20,29.46,30.22,20.54,979,88.91,28.2,1528
April,167,20.25,12.81,25.75,506,85.55,26.09,9125
August,22,35.27,38.22,22.11,1130,86.46,47.48,1440
May,266,35.29,16.81,18.88,1342,87.92,48.26,8446
January,269,36.75,17.5,22.99,543,84.51,25.42,3451
June,112,22.6,30.2,11.48,837,80.34,41.1,5707
May,129,31.91,23.4,21.88,1059,87.99,32.86,7971
August,92,45.83,36.35,15.84,590,81.96,27.41,5207
June,226,29.0,16.57,25.81,1201,81.92,20.64,2733
August,110,42.06,32.83,13.59,1723,94.29,49.34,2965
August,278,35.18,15.31,14.63,962,82.98,47.59,6584
February,84,27.22,12.94,10.28,1842,81.13,48.25,6387
February,12,22.87,19.53,28.34,751,98.04,30.26,4600
March,244,25.66,39.97,14.74,1650,90.81,44.92,2630
June,96,46.31,16.48,11.16,1478,92.29,39.04,4685
November,255,44.4,29.11,29.35,1886,88.12,29.77,3427
October,291,23.58,38.89,12.26,1057,85.91,21.23,2865
April,87,47.9,31.81,11.25,926,86.33,26.73,2513
February,62,23.32,13.96,23.01,1713,97.59,31.94,8288
February,298,39.96,38.74,27.45,1522,87.75,38.01,7305
February,276,35.79,37.52,24.82,1101,80.26,31.58,6903
October,143,35.55,22.67,23.12,863,96.07,44.54,3796
December,19,38.17,11.18,11.04,1800,93.81,35.16,7320
December,94,23.93,13.73,23.73,1637,93.36,43.38,3013
May,171,34.19,39.45,12.29,1938,88.77,41.9,3042
June,152,28.19,17.11,18.45,1281,81.95,49.02,6742
August,194,22.12,36.46,19.73,1634,91.94,48.57,9557
November,174,23.7,32.19,12.5,1218,83.87,28.52,8763
April,289,31.62,22.24,29.27,585,85.84,31.1,3843
September,176,30.86,33.61,10.28,604,93.24,36.05,2599
November,200,49.3,32.62,18.98,1652,97.03,32.78,3713
June,114,34.8,36.96,12.24,1906,81.73,24.74,3768
February,247,31.12,24.68,15.51,1617,80.51,38.9,2678
May,95,48.11,33.41,21.4,1280,83.73,25.04,5842
January,254,31.23,18.19,24.84,1237,98.01,43.57,9947
May,267,36.36,14.65,23.93,910,91.52,42.55,9072
October,220,35.93,36.13,14.47,723,95.64,35.79,8188
January,54,31.26,23.8,12.55,1779,91.65,36.65,7865
September,205,38.49,23.87,11.42,1171,81.86,31.02,3539
May,35,32.8,33.16,18.56,701,85.79,20.13,8127
June,159,36.3,14.69,13.35,1766,88.78,29.31,7864
April,116,49.9,20.42,28.06,751,91.94,42.98,2284
December,92,33.98,23.73,13.01,573,87.33,26.62,9085
November,296,40.76,18.66,29.91,1603,94.18,27.36,7330
February,224,41.99,15.94,15.64,1929,96.01,23.96,5204
February,270,48.31,11.41,13.07,1764,91.69,49.76,6984
January,238,37.42,18.18,11.27,717,89.06,28.1,8568
September,16,44.93,12.03,13.24,1100,90.17,36.71,3662
March,179,35.69,34.84,25.73,975,84.16,44.34,6168
May,188,36.5,39.97,11.78,643,98.57,24.73,8981
August,188,45.09,25.68,26.02,514,84.33,32.23,6512
February,31,46.25,34.81,14.74,1365,90.01,47.76,5539
January,114,25.94,27.79,17.35,1247,88.9,26.97,1103
July,288,33.42,28.28,21.96,1226,91.53,24.45,6063
August,131,36.25,16.42,19.14,1910,80.47,23.56,7873
August,35,28.73,11.36,19.99,1506,85.03,47.79,9402
February,27,27.32,16.76,26.53,1769,91.73,41.54,5642
January,26,42.61,21.14,11.03,1015,98.35,37.12,5702
July,234,48.61,19.71,29.72,1877,96.49,35.76,8153
June,132,25.1,37.0,24.91,1759,93.47,35.0,7961
April,221,42.98,14.82,28.38,1727,99.31,36.33,8653
February,119,20.86,38.11,23.09,1577,80.66,25.46,3748
October,24,48.05,16.18,25.16,1927,96.8,47.59,2911
November,109,32.95,18.09,19.68,1477,83.83,26.31,4214
June,104,30.5,22.48,25.68,1188,83.09,23.65,1333
August,128,46.84,13.4,24.45,1766,89.2,34.25,4577
February,31,29.38,12.56,18.42,1104,88.13,25.67,7147
August,248,22.79,30.75,18.08,1160,89.87,25.38,6404
December,110,23.8,13.5,22.04,1529,81.42,36.56,8673
March,169,37.07,22.63,15.69,1220,88.13,36.32,4665
June,118,21.7,20.66,22.42,663,81.21,30.04,4903
May,71,24.5,30.61,10.6,1978,85.61,33.47,5794
May,201,36.49,10.76,28.96,1077,98.08,26.76,9667
November,168,38.62,11.65,22.93,881,96.36,35.39,1506
September,193,26.01,25.09,23.19,765,98.18,23.51,3395
June,206,44.61,17.94,11.07,874,96.53,27.27,8187
October,222,32.23,36.77,10.12,979,83.38,38.07,2949
September,289,28.56,35.17,28.12,1161,99.95,34.64,8993
November,55,35.88,14.36,15.55,1272,87.27,31.99,5325
October,248,22.76,39.02,25.7,1511,88.87,47.08,3063
October,19,45.98,11.14,18.96,1865,94.13,43.7,2601
March,111,45.56,28.16,29.31,1093,81.52,46.43,5071
October,211,21.08,28.44,23.52,1356,99.28,30.11,8148
February,258,42.32,13.04,16.07,1848,89.96,22.87,8421
December,192,41.54,21.66,17.43,1258,90.66,48.28,2722
June,125,28.73,17.4,29.99,679,97.0,39.25,6526
November,294,34.5,16.03,25.25,766,98.0,33.72,3568
February,195,34.63,32.95,28.64,1370,84.95,34.03,1544
April,276,41.57,11.92,18.51,1149,82.82,27.78,3062
July,162,32.6,30.83,19.14,1211,94.51,40.97,6527
April,228,36.39,36.13,21.05,891,99.85,47.68,2354
January,182,36.36,10.72,14.14,1272,92.35,21.93,4294
March,65,26.97,14.31,14.05,1571,87.66,24.06,6703
October,45,26.57,15.68,26.27,1216,93.3,23.35,6294
March,183,27.17,11.36,27.77,1303,87.78,44.55,7271
April,264,27.34,26.48,23.87,861,97.47,47.18,2432
November,55,30.34,32.92,16.45,518,99.89,44.36,6756
December,230,48.36,14.84,23.77,993,97.59,41.23,3962
July,194,31.66,22.25,23.96,1719,81.37,46.29,1663
November,254,43.78,39.13,22.61,515,82.03,46.0,7754
July,281,27.91,35.15,20.02,1929,81.74,37.75,9204
February,49,39.17,22.33,26.76,1410,96.13,48.84,6270
August,92,43.44,29.7,22.07,1018,97.83,49.83,2869
May,153,41.69,20.66,11.06,1682,86.11,43.13,8439
June,239,27.34,33.73,18.67,1026,90.17,30.19,3832
January,207,35.67,10.75,23.86,798,90.9,31.25,6501
October,29,32.79,30.44,12.47,856,82.4,49.23,2276
November,218,35.43,12.64,27.4,1087,89.34,47.34,8149
June,209,49.63,14.22,20.65,1885,86.35,26.89,6590
December,201,39.97,38.3,18.73,1344,92.61,21.75,3969
July,216,47.34,30.24,28.49,542,93.67,32.98,5538
August,124,34.75,28.25,11.05,937,99.58,36.43,1605
March,101,36.71,22.89,24.04,1648,86.85,24.7,9051
August,119,41.19,17.83,16.85,608,97.76,20.54,1749
August,229,35.06,33.89,25.9,618,82.19,42.95,6942
August,236,23.13,32.66,18.91,891,82.56,32.16,1795
October,288,27.79,22.23,24.91,683,97.37,20.56,6211
October,294,35.37,21.86,27.62,872,86.23,22.02,1902
May,149,40.26,39.84,11.78,729,97.13,38.73,2561
August,125,30.76,32.08,22.18,1908,87.53,34.47,4771
January,199,46.65,11.76,28.63,755,91.86,29.64,4239
August,116,36.25,24.79,14.78,917,93.55,31.21,8035
September,28,30.23,28.12,19.43,1549,86.02,41.65,4274
October,25,36.62,13.71,16.59,813,87.51,41.97,1967
May,147,29.0,15.81,16.95,861,94.93,49.63,8602
December,244,43.22,37.14,25.35,818,86.95,46.61,1643
April,299,49.17,29.8,12.14,982,97.59,21.83,1024
April,213,41.82,32.22,17.47,1024,96.79,42.92,7297
August,251,45.75,38.99,20.09,1444,93.43,48.04,7325
November,237,34.47,27.87,25.95,1165,91.39,47.63,7308
June,57,20.12,35.6,10.59,845,98.54,40.0,9835
January,153,31.8,11.66,18.36,1678,85.82,46.54,5381
April,69,35.81,16.56,19.91,1274,90.05,46.5,1870
April,237,28.18,37.28,11.04,1878,84.78,45.14,7817
November,232,38.53,10.8,29.04,1868,80.41,38.06,2869
October,256,39.27,26.4,27.68,1668,80.65,31.31,7404
February,16,48.61,22.36,23.68,1788,92.68,29.86,4257
July,206,33.25,32.59,16.66,1112,86.45,31.72,6233
November,180,48.49,34.29,29.43,825,86.35,41.05,3380
January,162,23.0,10.39,26.72,753,89.36,20.34,9270
April,35,41.23,13.75,20.1,1110,88.17,32.5,1466
January,36,32.66,12.03,26.76,1263,96.74,49.08,4622
October,247,44.6,14.37,13.71,1389,95.84,25.98,3940
October,62,47.04,12.52,10.6,1946,87.34,24.82,2420
April,264,27.12,28.64,20.54,980,94.73,25.7,4220
August,27,27.43,29.99,18.33,552,98.21,32.12,3033
September,110,47.47,10.27,10.66,1156,99.83,41.91,2855
August,224,28.8,18.05,24.38,1147,92.11,45.15,7113
February,201,34.95,10.05,20.79,952,86.11,26.67,7055
November,23,36.73,18.5,14.8,1056,90.82,49.52,7897
December,138,26.49,30.95,25.13,1745,86.57,39.83,3006
August,86,23.06,19.01,18.75,1606,99.96,32.94,4214
June,24,35.0,28.51,20.1,1262,92.44,25.72,1970
August,289,47.62,32.7,13.88,1807,97.09,34.47,7374
July,164,32.97,24.6,28.53,1919,84.5,31.84,3059
April,106,33.44,13.07,11.48,1614,99.87,39.3,8623
July,167,21.71,15.38,26.95,1355,95.94,24.91,4849
December,46,31.34,20.61,20.08,1272,99.94,35.03,7236
January,217,33.89,22.95,11.63,1189,93.59,22.48,7093
March,299,39.83,21.0,29.32,1057,96.67,37.72,5424
March,78,26.6,14.72,15.37,1673,95.53,25.55,1645
December,114,45.72,17.02,18.3,1103,97.84,33.91,5433
January,107,49.97,27.7,19.96,950,90.17,36.73,3000
November,51,33.71,23.38,10.54,1774,83.83,20.75,5068
November,65,32.23,39.42,11.51,1929,86.67,21.93,8838
April,216,22.27,17.2,21.92,556,93.58,37.2,2299
May,149,42.37,36.46,15.72,868,82.25,33.41,9876
April,156,41.63,32.12,23.53,1206,88.49,37.87,4731
May,126,49.13,25.42,15.57,1249,89.98,38.64,5242
July,92,37.26,11.11,27.47,808,97.66,36.13,6310
December,169,40.14,11.95,19.17,1263,94.71,25.82,5048
December,186,30.49,17.71,10.28,1186,85.46,38.8,8715
May,112,24.71,26.71,13.21,790,89.33,35.56,8147
April,28,23.24,31.38,13.01,1382,93.22,33.38,6532
November,299,30.07,37.27,24.35,569,89.4,46.71,7896
October,255,34.92,39.12,22.23,1212,87.47,33.0,7124
November,11,39.42,26.54,20.19,1819,97.03,34.29,8760
March,230,27.94,31.06,25.15,1155,89.66,32.47,3672
April,141,25.08,13.5,25.72,1547,97.54,33.66,7008
March,201,27.23,14.56,20.95,958,89.57,28.38,3789
April,278,32.91,36.19,18.25,690,92.15,49.09,7639
May,260,35.69,33.93,16.42,1751,81.73,23.35,5540
March,221,21.05,23.61,25.51,1323,90.72,21.92,7688
August,136,47.82,21.29,17.99,1902,88.59,38.77,7608
September,217,48.64,36.8,18.77,1831,87.86,42.05,5911
August,63,43.74,11.46,14.07,1434,82.58,30.25,7714
April,84,33.88,10.91,14.7,1915,92.63,32.24,6790
March,32,46.02,23.04,23.98,1155,80.92,43.87,8350
May,226,26.96,35.24,26.46,1375,85.78,27.48,2460
January,58,46.2,12.15,18.27,1601,88.71,36.58,7167
October,190,25.27,19.6,27.69,1555,88.94,40.94,5583
January,145,32.24,29.67,13.83,510,81.95,22.05,2969
February,129,34.62,26.12,11.15,1588,83.37,46.68,4935
February,56,46.06,39.89,22.62,1972,82.57,21.72,6745
October,41,44.77,19.12,19.5,856,99.37,38.12,2961
August,167,25.71,23.78,26.16,1360,96.05,20.5,5012
May,122,25.74,37.94,11.63,980,89.22,39.57,3189
March,239,30.44,15.07,27.36,1063,85.24,33.02,4637
December,261,49.37,20.85,12.08,790,87.23,23.79,2751
September,84,47.89,30.14,26.48,1784,96.21,27.56,5398
April,230,20.93,30.41,21.52,1871,85.8,43.46,7023
May,77,24.13,24.7,17.39,1054,86.37,30.2,6963
April,208,37.56,24.57,12.0,1116,83.17,36.24,5263
June,95,46.45,32.54,23.7,722,80.19,27.29,5874
June,246,28.38,22.56,25.17,1418,93.89,45.37,2095
August,239,39.79,12.18,24.45,1370,94.94,36.14,4482
September,205,41.43,17.89,17.86,878,91.91,40.14,9706
December,232,31.34,30.69,11.18,1678,94.17,42.44,8887
October,106,21.84,35.94,29.63,1095,99.93,22.85,2624
October,239,48.66,28.21,11.58,1832,80.39,34.99,3828
July,133,25.45,14.25,10.67,1417,84.13,37.42,3949
September,157,48.25,34.1,19.78,1898,99.15,25.44,3523
February,172,24.52,22.17,16.86,962,81.92,31.49,7973
September,217,26.27,21.2,14.11,1921,88.69,38.82,1581
October,134,47.82,22.24,29.43,890,99.54,45.2,2379
June,51,47.92,24.29,25.37,706,84.43,31.93,8990
November,183,37.79,26.15,14.76,1326,90.96,25.28,2751
December,258,30.89,24.84,18.67,501,97.49,22.25,8824
July,34,20.19,35.59,24.18,1926,83.73,45.83,8775
August,102,28.59,17.57,17.77,541,86.38,38.96,9963
November,96,44.33,30.6,14.41,1771,91.16,32.32,4339
March,54,36.63,28.74,21.15,1238,89.72,49.9,1501
August,36,26.01,38.82,24.77,730,92.67,28.68,3723
December,155,26.76,34.72,18.89,1916,97.68,30.28,6459
April,296,25.03,14.34,14.33,938,86.53,28.57,4472
July,166,21.85,35.18,10.88,1145,90.84,34.07,6250
June,150,28.59,17.32,14.96,1685,92.51,42.25,1192
September,111,41.27,24.29,16.76,1043,83.29,36.52,6568
June,154,24.48,33.2,13.36,1346,90.47,41.51,9574
September,133,38.94,27.27,11.17,1288,86.79,37.4,4938
April,55,46.64,37.57,22.49,1164,80.4,29.95,4128
May,166,33.73,39.48,13.88,1432,99.83,26.96,9688
October,267,41.48,16.41,14.83,735,96.96,43.06,9472
March,159,24.93,29.29,28.82,1187,89.5,39.59,6890
November,273,28.03,11.02,27.08,1961,92.4,24.52,8426
October,141,33.75,28.46,28.57,1576,91.74,24.57,5225
August,44,40.48,31.1,18.0,743,84.65,20.79,7936
March,116,47.28,35.5,12.13,1970,89.52,32.91,9854
February,269,45.65,28.41,25.9,1227,90.78,22.74,3820
